2019-04-17 19:27:06,516 p=1186 u=vibakar |  - roles/tomcat was created successfully
2019-04-17 19:36:27,599 p=1421 u=vibakar |  PLAY [local] *******************************************************************
2019-04-17 19:36:27,661 p=1421 u=vibakar |  TASK [Gathering Facts] *********************************************************
2019-04-17 19:36:30,112 p=1421 u=vibakar |  ok: [local]
2019-04-17 19:36:30,165 p=1421 u=vibakar |  TASK [tomcat : create a folder for placing tomcat] *****************************
2019-04-17 19:36:30,481 p=1421 u=vibakar |  changed: [local]
2019-04-17 19:36:30,483 p=1421 u=vibakar |  PLAY RECAP *********************************************************************
2019-04-17 19:36:30,483 p=1421 u=vibakar |  local                      : ok=2    changed=1    unreachable=0    failed=0   
2019-04-17 19:59:36,858 p=1831 u=vibakar |  PLAY [local] *******************************************************************
2019-04-17 19:59:36,867 p=1831 u=vibakar |  TASK [Gathering Facts] *********************************************************
2019-04-17 19:59:38,226 p=1831 u=vibakar |  ok: [local]
2019-04-17 19:59:38,283 p=1831 u=vibakar |  TASK [tomcat : create a folder for placing tomcat] *****************************
2019-04-17 19:59:38,637 p=1831 u=vibakar |  ok: [local]
2019-04-17 19:59:38,753 p=1831 u=vibakar |  TASK [tomcat : Unarchive tomcat] ***********************************************
2019-04-17 19:59:38,801 p=1831 u=vibakar |  fatal: [local]: FAILED! => {"changed": false, "msg": "Could not find or access '/home/vibakar/Downloads/apache-tomcat-8.5.39.zip' on the Ansible Controller.\nIf you are using a module and expect the file to exist on the remote, see the remote_src option"}
2019-04-17 19:59:38,803 p=1831 u=vibakar |  	to retry, use: --limit @/home/vibakar/Downloads/ILP3/roles/tomcat/server.retry

2019-04-17 19:59:38,804 p=1831 u=vibakar |  PLAY RECAP *********************************************************************
2019-04-17 19:59:38,804 p=1831 u=vibakar |  local                      : ok=2    changed=0    unreachable=0    failed=1   
2019-04-17 19:59:55,384 p=2042 u=vibakar |  PLAY [local] *******************************************************************
2019-04-17 19:59:55,393 p=2042 u=vibakar |  TASK [Gathering Facts] *********************************************************
2019-04-17 19:59:56,725 p=2042 u=vibakar |  ok: [local]
2019-04-17 19:59:56,782 p=2042 u=vibakar |  TASK [tomcat : create a folder for placing tomcat] *****************************
2019-04-17 19:59:57,135 p=2042 u=vibakar |  ok: [local]
2019-04-17 19:59:57,190 p=2042 u=vibakar |  TASK [tomcat : Unarchive tomcat] ***********************************************
2019-04-17 19:59:58,413 p=2042 u=vibakar |  changed: [local]
2019-04-17 19:59:58,415 p=2042 u=vibakar |  PLAY RECAP *********************************************************************
2019-04-17 19:59:58,415 p=2042 u=vibakar |  local                      : ok=3    changed=1    unreachable=0    failed=0   
2019-04-17 20:05:43,187 p=2432 u=vibakar |  PLAY [local] *******************************************************************
2019-04-17 20:05:43,197 p=2432 u=vibakar |  TASK [Gathering Facts] *********************************************************
2019-04-17 20:05:44,482 p=2432 u=vibakar |  ok: [local]
2019-04-17 20:05:44,539 p=2432 u=vibakar |  TASK [tomcat : create a folder for placing tomcat] *****************************
2019-04-17 20:05:44,878 p=2432 u=vibakar |  ok: [local]
2019-04-17 20:05:44,933 p=2432 u=vibakar |  TASK [tomcat : Unarchive tomcat] ***********************************************
2019-04-17 20:05:45,870 p=2432 u=vibakar |  ok: [local]
2019-04-17 20:05:46,008 p=2432 u=vibakar |  TASK [tomcat : configure tomcat port] ******************************************
